local,state,average_score,lat,lon,fips
 Durant, OK,3.824369748,33.9957,-96.3938,40013
 Durham, NC,3.797301038,35.9797,-78.9037,37063
 Dyersburg, TN,3.939726027,36.0465,-89.3778,47045
 Eagan, MN,4.146666667,44.817,-93.1638,27037
 Eagle Pass, TX,3.94,28.7118,-100.4832,48323
 East Grand Forks, MN,3.775,47.9284,-97.0138,27119
 East Lansing, MI,3.607609756,42.748,-84.4835,26065
 East Liverpool, OH,4.3,40.6333,-80.5677,39029
 East Peoria, IL,3.754774775,40.6739,-89.5421,17179
 East Stroudsburg, PA,3.713405797,41.0023,-75.1779,42089
 Easton, PA,3.834375,38.776,-76.0702,42095
 Eau Claire, WI,3.589502019,44.8203,-91.4951,55035
 Eden Prairie, MN,3.621276596,44.8488,-93.4595,27053
 Edgewater, MD,4.7,39.7508,-105.0627,24003
 Edinboro, PA,3.701914894,41.8762,-80.1246,42049
 Edinburg, TX,3.333333333,26.319,-98.1607,48215
 Edmond, OK,3.844788732,35.6689,-97.4159,40109
 Edwardsville, IL,3.667922236,38.7924,-89.9876,17119
 El Cajon, CA,3.824528302,32.8017,-116.9604,6073
 El Dorado, AR,4.985714286,37.8208,-96.8614,5139
 El Monte, CA,5,34.074,-118.0291,6037
 El Paso, TX,3.852,31.8479,-106.4309,48141
 El Reno, OK,4.127083333,35.543,-97.966,40017
 Elgin, IL,3.875977654,42.0385,-88.3229,17089
 Elizabeth, NJ,3.942982456,40.6657,-74.1912,34039
 Elizabeth City, NC,4.008333333,36.2943,-76.236,37139
 Elizabethtown, KY,3.711926606,37.703,-85.8772,21093
 Elizabethtown, PA,3.595215311,37.703,-85.8772,42071
 Elk Grove, CA,3.26875,38.416,-121.384,6067
 Elkhorn, WI,4.185714286,42.6711,-88.5377,55127
 Elkins, WV,3.8,38.9237,-79.8541,54083
 Elko, NV,3.90754717,40.8387,-115.7674,32007
 Ellensburg, WA,3.694425087,46.9994,-120.547,53037
 Ellisville, MS,3.937333333,38.5895,-90.5883,28067
 Elmhurst, IL,3.665151515,41.8973,-87.9432,17043
 Elmira, NY,3.777477477,42.0938,-76.8097,36015
 Elon, NC,3.683042789,36.101,-79.5081,37001
 Elyria, OH,3.738259109,41.3761,-82.1063,39093
 Emeryville, CA,4.6,37.8382,-122.2932,6001
 Emmitsburg, MD,3.742465753,39.7051,-77.3216,24021
 Emporia, KS,3.658706468,38.4028,-96.1924,20111
 Encinitas, CA,4.225,33.0492,-117.2613,6073
 Englewood Cliffs, NJ,4.4625,40.8822,-73.9466,34003
 Enid, OK,4.025925926,36.4061,-97.8701,40047
 Enterprise, AL,4.194736842,31.3276,-85.8459,1031
 Enumclaw, WA,4,47.2017,-121.9897,53033
 Ephraim, UT,3.97,39.3577,-111.5819,49039
 Erie, PA,3.578215768,40.041,-105.0393,42049
 Escanaba, MI,3.832467532,45.7477,-87.09,26041
 Escondido, CA,4.4,33.1347,-117.0722,6073
 Estherville, IA,4.122222222,43.3998,-94.8343,19063
 Eufaula, AL,4.385714286,31.9102,-85.1505,1005
 Eugene, OR,3.705230386,44.0563,-123.1173,41039
 Eunice, LA,3.775949367,30.4904,-92.4191,22097
 Eureka, CA,3.821634615,38.5013,-90.6491,6023
 Eureka, IL,3.485897436,38.5013,-90.6491,17203
 Evanston, IL,3.905381166,42.0463,-87.6942,17031
 Evansville, IN,3.684004024,37.9882,-87.5339,18163
 Everett, WA,3.780932203,42.4064,-71.0545,53061
 Fairbanks, AK,3.880851064,64.8353,-147.6533,2090
 Fairburn, GA,3,33.5497,-84.5914,13121
 Fairfax, VA,3.746736842,37.9884,-122.595,51600
 Fairfield, AL,4.186666667,39.3301,-84.5405,1073
 Fairfield, CA,3.916120907,39.3301,-84.5405,6095
 Fairfield, IA,4.330769231,39.3301,-84.5405,19101
 Fairfield, IL,5,39.3301,-84.5405,17191
 Fairhope, AL,5,30.5221,-87.8817,1003
 Fairmont, WV,3.714772727,43.6441,-94.4621,54049
 Fall River, MA,3.83615257,41.7136,-71.1015,25005
 Fallon, NV,3.7,39.4739,-118.778,32001
 Falls Church, VA,3.948717949,38.8847,-77.1751,51610
 Fargo, ND,3.60510397,46.8653,-96.8292,38017
 Farmingdale, NY,3.720787402,40.7328,-73.4465,36059
 Farmington, NM,4.034042553,42.4614,-83.3784,35045
 Farmington Hills, MI,3.736334405,42.486,-83.3771,26125
 Farmville, VA,3.608285714,37.2968,-78.3993,51147
 Fayetteville, AR,3.772004816,33.45,-84.4708,5143
 Fayetteville, GA,5,33.45,-84.4708,13113
 Fayetteville, NC,3.79616307,33.45,-84.4708,37051
 Fayetteville, TN,5,33.45,-84.4708,47103
 Federal Way, WA,3.509375,47.309,-122.3359,53033
 Fenton, MO,3.983333333,42.7994,-83.7144,29189
 Fergus Falls, MN,3.576666667,46.2854,-96.0759,27111
 Findlay, OH,3.781273408,41.0467,-83.6379,39063
 Fitchburg, MA,3.650180505,42.5912,-71.8156,25027
 Fitzgerald, GA,4.5,31.7135,-83.2515,13017
 Flagstaff, AZ,3.667878193,35.1872,-111.6195,4005
 Flat Rock, NC,3.635416667,42.0991,-83.2716,37089
 Flint, MI,3.662130937,43.0236,-83.6922,26049
 Florence, AL,3.789750693,43.9912,-124.1061,1077
 Florence, KY,4.366666667,43.9912,-124.1061,21015
 Florence, MS,4.3,43.9912,-124.1061,28121
 Florence, SC,3.824708625,43.9912,-124.1061,45041
 Florissant, MO,4.4,38.7996,-90.3269,29189
 Flower Mound, TX,4.144444444,33.0344,-97.1147,48121
 Folsom, CA,3.829391892,38.6669,-121.1422,6067
 Fond du Lac, WI,3.827941176,43.772,-88.4396,55039
 Forest City, IA,4.111111111,35.3339,-81.8702,19189
 Forest Grove, OR,4.008421053,45.5245,-123.1102,41067
 Forrest City, AR,3.835294118,35.0102,-90.7874,5123
 Fort Collins, CO,3.709351753,40.5479,-105.0658,8069
 Fort Dodge, IA,3.842857143,42.5098,-94.1751,19187
 Fort Lauderdale, FL,3.79856425,26.1412,-80.1464,12011
 Fort Mitchell, KY,4.46,39.0459,-84.5563,21117
 Fort Morgan, CO,3.5,40.2549,-103.7913,8087
 Fort Myers, FL,3.824518389,26.6195,-81.8302,12071
 Fort Pierce, FL,3.794363257,27.4256,-80.3425,12111
 Fort Scott, KS,3.716666667,37.8283,-94.7038,20011
 Fort Smith, AR,3.768300654,35.3494,-94.3695,5131
 Fort Valley, GA,3.514285714,32.5521,-83.8819,13225
 Fort Walton Beach, FL,3.866666667,30.4245,-86.6193,12091
 Fort Wayne, IN,4.035329341,41.0885,-85.1436,18003
 Fort Worth, TX,3.806453782,32.7814,-97.3473,48439
 Fountain Valley, CA,4.666666667,33.7105,-117.9514,6059
 Frankfort, KY,3.027777778,38.1924,-84.8644,21073
 Franklin, IN,3.608888889,36.7163,-86.5587,18081
 Franklin, TN,3.96,36.7163,-86.5587,47187
 Franklin, VA,3.683333333,36.7163,-86.5587,51620
 Frederick, MD,3.697192225,39.4335,-77.4157,24021
 Fredericksburg, VA,3.764417178,30.2671,-98.8757,51630
 Fredonia, NY,3.720665083,42.4407,-79.3319,36013
 Freeport, IL,3.523076923,42.2895,-89.6354,17177
 Fremont, CA,3.838115632,41.3533,-83.1146,6001
 Fremont, NE,3.633333333,41.3533,-83.1146,31053
 Fremont, OH,3.557692308,41.3533,-83.1146,39143
 Fresno, CA,3.843520887,36.7834,-119.7941,6019
 Frisco, TX,3.903076923,33.1553,-96.8218,48085
 Front Royal, VA,4.085714286,38.926,-78.1838,51187
 Frostburg, MD,3.710693642,39.6506,-78.9269,24001
 Fullerton, CA,3.775563305,33.8841,-117.9279,6059
 Fulton, MO,3.926086957,38.8551,-91.951,29027
 Fulton, MS,4.148780488,38.8551,-91.951,28057
 Gadsden, AL,4.111666667,34.009,-86.0156,1055
 Gaffney, SC,3.96097561,35.0742,-81.6558,45021
 Gainesville, FL,3.78997675,34.2901,-83.8301,12001
 Gainesville, GA,3.899,34.2901,-83.8301,13139
 Gainesville, TX,3.689189189,34.2901,-83.8301,48097
 Galesburg, IL,3.943925234,40.9506,-90.3763,17095
 Gallatin, TN,3.817948718,36.3783,-86.4696,47165
 Gallup, NM,3.6,35.5178,-108.7474,35031
 Galveston, TX,3.749032258,29.2487,-94.891,48167
 Garden City, KS,3.983333333,37.9755,-100.8529,20055
 Garden City, NY,3.765830116,37.9755,-100.8529,36059
 Garden Grove, CA,3.692708333,33.7787,-117.9601,6059
 Gardena, CA,3.233333333,33.8944,-118.3073,6037
 Gardner, MA,3.83961039,38.8162,-94.93,25027
 Garland, TX,3.867647059,32.91,-96.6305,48113
 Gary, IN,3.757727273,41.5906,-87.3472,18089
 Gautier, MS,3.712698413,30.4106,-88.6568,28059
 Geneseo, NY,3.539323467,41.4508,-90.154,36051
 Geneva, NY,3.7,41.8007,-80.9461,36069
 Georgetown, DE,3.872727273,38.2253,-84.5481,10005
 Georgetown, KY,3.93655914,38.2253,-84.5481,21209
 Georgetown, SC,4.046428571,38.2253,-84.5481,45043
 Georgetown, TX,3.911188811,38.2253,-84.5481,48491
 Germantown, MD,3.695061728,39.6324,-84.3645,24031
 Gettysburg, PA,3.697878788,39.8304,-77.2339,42001
 Gillette, WY,3.8,44.2779,-105.5004,56005
 Gilroy, CA,4.033333333,37.0047,-121.5843,6085
 Glassboro, NJ,3.670864382,39.7014,-75.1113,34015
 Glen Cove, NY,3.75,40.8709,-73.6287,36059
 Glen Ellyn, IL,3.814926527,41.8669,-88.063,17043
 Glendale, AZ,3.762193362,38.5935,-90.3826,4013
 Glendale, CA,3.853325817,38.5935,-90.3826,6037
 Glendive, MT,3.964705882,47.1102,-104.707,30021
 Glendora, CA,3.900948767,34.1449,-117.8468,6037
 Glenwood Springs, CO,3.970588235,39.5459,-107.3348,8045
 Godfrey, IL,4.08,38.9581,-90.2156,17119
 Golden, CO,3.580898876,39.7406,-105.2122,8059
 Goldsboro, NC,3.982894737,35.3777,-77.972,37191
 Gonzales, LA,4.5,36.506,-121.443,22005
 Goodlettsville, TN,4.433333333,36.3323,-86.7032,47037
 Goshen, IN,4.026666667,41.5741,-85.8304,18039
 Graham, NC,3.908139535,36.0597,-79.3899,37001
 Grambling, LA,3.680357143,32.5275,-92.7124,22061
 Grand Forks, ND,3.522864322,47.9223,-97.0887,38035
 Grand Island, NE,4.48,40.9214,-98.3584,31079
 Grand Junction, CO,3.698461538,39.0878,-108.5673,8077
 Grand Prairie, TX,5,32.6869,-97.0209,48113
 Grand Rapids, MI,3.748901099,42.9615,-85.6557,26081
 Grand Rapids, MN,3.897674419,42.9615,-85.6557,27061
 Granite City, IL,3.797560976,38.7296,-90.1263,17119
 Grants, NM,5,35.1538,-107.8335,35006
 Grants Pass, OR,3.881034483,42.4333,-123.3317,41033
 Granville, OH,3.701181102,40.0646,-82.5022,39089
 Grass Valley, CA,4.027272727,39.2237,-121.0521,6057
 Grayslake, IL,3.842931034,42.3405,-88.0339,17097
 Grayson, KY,3.382758621,38.3317,-82.9371,21043
 Great Bend, KS,3.788888889,38.3593,-98.8015,20009
 Great Falls, MT,3.981818182,47.5022,-111.2995,30013
 Greeley, CO,3.767005076,40.415,-104.7696,8123
 Green Bay, WI,3.720209974,44.515,-87.9896,55009
 Greencastle, IN,3.860836502,39.6431,-86.8419,18133
 Greeneville, TN,3.715555556,36.168,-82.8197,47059
 Greenfield, WI,5,39.3535,-83.3884,55079
 Greensboro, NC,3.7163387,36.0956,-79.8269,37081
 Greensburg, PA,3.702692308,39.3514,-85.5024,42129
 Greenville, IL,3.888461538,34.8363,-82.365,17005
 Greenville, NC,3.804650113,34.8363,-82.365,37147
 Greenville, PA,3.74875,34.8363,-82.365,42085
 Greenville, SC,3.86653883,34.8363,-82.365,45045
 Greenwood, SC,3.716,34.1944,-82.1543,45047
 Gresham, OR,3.81254902,45.5023,-122.4414,41051
 Griffin, GA,3.951428571,33.2418,-84.2747,13255
 Grinnell, IA,3.819354839,41.7373,-92.7244,19157
 Groton, CT,3.854166667,41.339,-72.0727,9011
 Grove City, PA,3.74973545,39.866,-83.0692,42085
 Gulfport, FL,3.7,30.4271,-89.0703,12103
 Gulfport, MS,3.931132075,30.4271,-89.0703,28047
 Gunnison, CO,3.934883721,38.5455,-106.9226,8051
 Gurnee, IL,3.784090909,42.3708,-87.9392,17097
 Hackettstown, NJ,3.777419355,40.854,-74.8257,34041
 Hagerstown, MD,3.960992908,39.6401,-77.7217,24043
 Hamburg, NY,3.958730159,42.7233,-78.8348,36029
 Hamilton, AL,3.544444444,46.2527,-114.1598,1093
 Hamilton, NY,3.814503817,46.2527,-114.1598,36053
 Hamilton, OH,3.798930481,46.2527,-114.1598,39017
 Hamilton, VA,4,46.2527,-114.1598,51107
 Hamlet, NC,4.214285714,34.889,-79.7098,37153
 Hammond, IN,3.771180556,41.617,-87.4908,18089
 Hammond, LA,3.814400922,41.617,-87.4908,22105
 Hampton, VA,3.752361396,33.3836,-84.2855,51650
 Hanford, CA,3.833333333,36.326,-119.654,6031
 Hannibal, MO,3.355555556,39.7097,-91.3936,29127
 Hanover, IN,3.803125,39.8117,-76.9835,18077
 Harlingen, TX,3.685245902,26.1917,-97.6977,48061
 Harriman, TN,4.01875,35.9306,-84.5603,47145
 Harrisburg, IL,3.848571429,37.7373,-88.5457,17165
 Harrisburg, PA,3.567741935,37.7373,-88.5457,42043
 Harrison, AR,3.854545455,39.2571,-84.7882,5009
 Harrison, MI,3.86835443,39.2571,-84.7882,26035
 Harrisonburg, VA,3.790478842,38.4362,-78.8735,51660
 Hartford, CT,3.74017094,43.621,-96.9424,9003
 Hartsville, SC,3.888888889,34.3679,-80.0829,45031
 Hastings, NE,3.858139535,42.6498,-85.2886,31001
 Hattiesburg, MS,3.860341556,31.3072,-89.3168,28035
 Haverhill, MA,4.077591973,42.7838,-71.0871,25009
 Havre, MT,3.93125,48.5428,-109.6805,30041
 Hays, KS,3.481545064,38.8814,-99.3217,20051
 Hayward, CA,3.786125212,37.6328,-122.0772,6001
 Hayward, WI,4.8,37.6328,-122.0772,55113
 Hazard, KY,3.7375,37.2583,-83.1977,21193
 Hazelwood, MO,5,38.7932,-90.3901,29189
 Hazleton, PA,3.782524272,40.9504,-75.9724,42079
 Heber Springs, AR,4.29047619,35.5003,-92.0332,5023
 Helena, MT,3.778125,46.5964,-112.0197,30049
 Helena-West Helena, AR,4.7625,34.5313,-90.62,5107
 Hempstead, NY,3.654686399,40.7043,-73.6193,36059
 Henderson, KY,3.951851852,37.8405,-87.5788,21101
 Henderson, NC,3.872972973,37.8405,-87.5788,37181
 Henderson, NV,3.682051282,37.8405,-87.5788,32003
 Henderson, TN,3.844117647,37.8405,-87.5788,47023
 Herkimer, NY,4.063716814,43.0282,-74.9928,36043
 Hialeah, FL,4.294,25.8696,-80.3045,12086
 Hibbing, MN,4,47.3981,-92.9487,27137
 Hickory, NC,3.719029851,35.7427,-81.3233,37035
 High Point, NC,3.731174089,35.9902,-79.9938,37081
 Highland, KS,3.611764706,40.4275,-111.7956,20043
 Highland Heights, KY,3.726605505,39.0354,-84.4567,21037
 Hillsboro, KS,3.071428571,45.5271,-122.9358,20115
 Hillsboro, MO,3.895238095,45.5271,-122.9358,29099
 Hillsboro, OH,3.778181818,45.5271,-122.9358,39071
 Hillsboro, OR,3.833333333,45.5271,-122.9358,41067
 Hillsboro, TX,3.946153846,45.5271,-122.9358,48217
 Hillsdale, MI,3.859230769,41.9266,-84.6356,26059
 Hinesville, GA,3,31.8247,-81.6135,13179
 Hobbs, NM,4.195238095,32.7282,-103.16,35025
 Hoboken, NJ,3.526041667,40.7453,-74.0279,34017
 Hoffman Estates, IL,3.62987013,42.0638,-88.1463,17031
 Holland, MI,3.867638484,42.7677,-86.0984,26139
 Hollywood, FL,3.83,32.7523,-80.2107,12011
 Holyoke, MA,3.798571429,42.2126,-72.6411,25013
 Homer, AK,5,59.653,-151.5255,2122
 Honolulu, HI,3.814223983,21.3294,-157.846,15003
 Hope, AR,3.35,33.6682,-93.5895,5057
 Hopkinsville, KY,3.9671875,36.8381,-87.4777,21047
 Hot Springs, AR,4,34.4902,-93.0498,5051
 Houghton, MI,3.463265306,47.1123,-88.5679,26061
 Houghton, NY,4.003,47.1123,-88.5679,36003
 Houston, TX,3.753022745,29.7868,-95.3905,48201
 Howell, MI,3.788461538,42.6078,-83.9339,26093
 Huber Heights, OH,5,39.8595,-84.113,39113
 Hudson, NC,3.875757576,41.2399,-81.4408,37027
 Hudson, NY,4.038297872,41.2399,-81.4408,36021
 Huntersville, NC,4.216666667,35.4057,-80.873,37119
 Huntingdon, PA,3.853684211,40.5,-78.0098,42061
 Huntington, IN,4.008108108,40.882,-85.5054,18069
 Huntington, WV,3.839489954,40.882,-85.5054,54011
 Huntington Beach, CA,3.832418525,33.696,-118.0025,6059
 Huntsville, AL,3.745849802,34.6989,-86.6414,1089
 Huntsville, TN,2.5,34.6989,-86.6414,47151
 Huntsville, TX,3.755934066,34.6989,-86.6414,48471
 Huron, OH,3.883333333,44.3622,-98.2102,39043
 Hurst, TX,2.35,32.8353,-97.1808,48439
 Hutchinson, KS,3.88,38.0671,-97.9081,20155
 Hutchinson, MN,3.883333333,38.0671,-97.9081,27085
 Idaho Falls, ID,3.52,43.4868,-112.0363,16019
 Imperial, CA,4.012017167,32.8375,-115.5719,6025
 Independence, KS,3.842105263,44.8551,-123.1948,20125
 Independence, MO,3.743529412,44.8551,-123.1948,29095
 Independence, OH,4.06,44.8551,-123.1948,39035
 Indiana, PA,3.693100097,40.6219,-79.1552,42063
 Indianapolis, IN,3.686235955,39.7771,-86.1458,18097
 Indianola, IA,3.714772727,33.4492,-90.6447,19181
 Inglewood, CA,3.892307692,33.9566,-118.3444,6037
 International Falls, MN,4.1,48.5884,-93.4083,27071
 Inver Grove Heights, MN,3.72513369,44.8247,-93.0596,27037
 Iola, KS,3.825842697,37.9273,-95.4006,20001
 Iowa City, IA,3.685521886,41.6559,-91.5304,19103
 Ironton, OH,4.036666667,38.5319,-82.6777,39087
 Ironwood, MI,3.944444444,46.4522,-90.1505,26053
 Irvine, CA,3.747487521,33.6772,-117.7738,6059
 Irving, TX,3.815559157,32.8584,-96.9702,48113
 Issaquah, WA,4.48,47.5421,-122.0445,53033
 Ithaca, NY,3.748794643,42.4442,-76.5032,36109
 Jackson, MI,3.795475113,32.3163,-90.2124,26075
 Jackson, MS,3.690502793,32.3163,-90.2124,28049
 Jackson, OH,2.5,32.3163,-90.2124,39079
 Jackson, TN,3.896341463,32.3163,-90.2124,47113
 Jacksonville, AL,3.851983299,39.7292,-90.232,1015
 Jacksonville, FL,3.799019918,39.7292,-90.232,12031
 Jacksonville, IL,3.721698113,39.7292,-90.232,17137
 Jacksonville, NC,3.995054945,39.7292,-90.232,37133
 Jacksonville, TX,4.9,39.7292,-90.232,48073
 Jamestown, NC,3.850988142,42.0975,-79.2366,37081
 Jamestown, ND,3.854545455,42.0975,-79.2366,38093
 Jamestown, NY,3.965979381,42.0975,-79.2366,36013
 Janesville, WI,3.656060606,42.6855,-89.0136,55105
 Jasper, AL,4.511538462,38.3936,-86.9405,1127
 Jasper, IN,3.855555556,38.3936,-86.9405,18037
 Jefferson City, MO,3.903278689,38.5677,-92.1757,29051
 Jefferson City, TN,3.995145631,38.5677,-92.1757,47089
 Jeffersonville, IN,3.9,38.3377,-85.7026,18019
 Jersey City, NJ,3.825935596,40.7161,-74.0682,34017
 Johns Creek, GA,4.3,34.0333,-84.2027,13121
 Johnson City, NY,4.8,42.123,-75.9624,36007
 Johnson City, TN,3.745106862,42.123,-75.9624,47179
 Johnstown, NY,3.903773585,40.3499,-104.9479,36035
 Johnstown, PA,3.820731707,40.3499,-104.9479,42021
 Joliet, IL,3.784546805,41.5193,-88.1501,17197
 Jonesboro, AR,3.803343465,35.8212,-90.6795,5031
 Joplin, MO,3.842608696,37.0766,-94.5016,29097
 Juneau, AK,3.89,58.444,-134.1515,2110
 Jupiter, FL,4.02,26.9199,-80.1127,12099
 Kalamazoo, MI,3.722850925,42.2749,-85.5881,26077
 Kalispell, MT,3.921875,48.2155,-114.3262,30029
 Kankakee, IL,3.583333333,41.102,-87.8643,17091
 Kansas City, KS,3.94028777,39.1234,-94.7443,20209
 Kansas City, MO,3.70240616,39.1234,-94.7443,29095
 Kaysville, UT,4.257142857,41.029,-111.9456,49011
 Kearney, NE,3.556428571,39.3547,-94.3589,31019
 Keene, NH,3.683804627,32.3955,-97.3226,33005
 Keene, TX,3.946808511,32.3955,-97.3226,48251
 Kenmore, WA,3.570588235,42.9646,-78.8713,53033
 Kennesaw, GA,3.723192149,34.0262,-84.6177,13067
 Kenosha, WI,3.796992481,42.5863,-87.8759,55059
 Kent, OH,3.685116557,41.149,-81.361,39133
 Keokuk, IA,4.375,40.4096,-91.4031,19111
 Kerrville, TX,3.719117647,30.0399,-99.1319,48265
 Ketchikan, AK,3.75,55.3556,-131.6698,2130
 Kettering, OH,3.763157895,39.6957,-84.1496,39113
 Kewanee, IL,3.576923077,41.2399,-89.9259,17073
 Key West, FL,4.15,24.5636,-81.7769,12087
 Keyser, WV,3.885714286,39.4394,-78.9822,54057
 Kilgore, TX,3.973451327,32.3979,-94.8603,48183
 Killeen, TX,3.874474474,31.0754,-97.7293,48027
 Kingman, AZ,3.24,35.217,-114.0105,4015
 Kings Point, NY,3.37,40.8162,-73.7408,36059
 Kingston, RI,3.658077544,41.2652,-75.8875,44009
 Kingstree, SC,3.475,33.6664,-79.8292,45089
 Kingsville, TX,3.879411765,27.5095,-97.861,48273
 Kinston, NC,4.00754717,35.2748,-77.5937,37107
 Kirkland, WA,3.8576,47.6997,-122.2041,53033
 Kirksville, MO,3.753177258,40.1986,-92.5753,29001
 Kirtland, OH,3.845098039,41.5969,-81.3406,39085
 Kissimmee, FL,3.826751592,28.3042,-81.4164,12097
 Klamath Falls, OR,3.691772152,42.2192,-121.7755,41035
 Knoxville, TN,3.751837441,41.3188,-93.1024,47093
 Kokomo, IN,3.821568627,40.464,-86.1277,18067
 Kutztown, PA,3.724117647,40.5212,-75.7773,42011
 Kyle, SD,4.2,29.9938,-97.8859,46102
 Kyle, TX,3,29.9938,-97.8859,48209
 La Crosse, WI,3.686715328,43.8241,-91.2268,55063
 La Grande, OR,3.653153153,45.3243,-118.0865,41061
 La Junta, CO,3.333333333,37.9797,-103.5473,8089
 La Mesa, CA,4.05,32.7703,-117.0204,6073
 La Mirada, CA,3.879537954,33.9025,-118.0093,6037
 La Plata, MD,3.724264706,38.5352,-76.9701,24017
 La Verne, CA,3.70228013,34.1208,-117.7702,6037
 Lacey, WA,3.893548387,47.045,-122.7931,53067
 Lackawanna, NY,3.8,42.8182,-78.8324,36029
 Laconia, NH,3.666666667,43.5724,-71.4775,33001
 Lafayette, IN,3.714705882,40.3991,-86.8594,18157
 Lafayette, LA,3.808384819,40.3991,-86.8594,22055
 Laguna Beach, CA,3.946153846,33.5449,-117.7613,6059
 Laguna Hills, CA,4.5,33.592,-117.6992,6059
 Lake Charles, LA,3.79017341,30.203,-93.215,22019
 Lake City, FL,3.902061856,33.8676,-79.7533,12023
 Lake Forest, IL,3.773643411,42.238,-87.8596,17097
 Lake Havasu City, AZ,3.361538462,34.5006,-114.3115,4015
 Lake Jackson, TX,3.933802817,29.0516,-95.4522,48039
 Lake Mary, FL,4.3625,28.7591,-81.336,12117
 Lake Wales, FL,3.797674419,27.9193,-81.5969,12105
 Lake Worth, FL,3.825244913,26.6194,-80.059,12099
 Lakeland, FL,3.831088083,35.2586,-89.7307,12105
 Lakewood, CO,3.831132075,41.4824,-81.8008,8059
 Lakewood, OH,4.83,41.4824,-81.8008,39035
 Lakewood, WA,3.736654804,41.4824,-81.8008,53053
 Lamar, CO,4.6,38.0739,-102.6155,8099
 Lancaster, CA,3.976661515,34.7247,-80.7802,6037
 Lancaster, OH,3.717105263,34.7247,-80.7802,39045
 Lancaster, PA,3.830289532,34.7247,-80.7802,42071
 Lancaster, SC,4.008163265,34.7247,-80.7802,45057
 Lancaster, TX,4.03490566,34.7247,-80.7802,48113
 Lansing, MI,3.726451613,39.2427,-94.8952,26065
 Lapeer, MI,4.8,43.0448,-83.3255,26087
 Laramie, WY,3.699722222,41.3099,-105.6086,56001
 Laredo, TX,4.003690037,27.5616,-99.487,48479
 Largo, FL,4.5,27.9088,-82.7713,12103
 Largo, MD,3.814211886,27.9088,-82.7713,24033
 Las Cruces, NM,3.778328173,32.3265,-106.7893,35013
 Las Vegas, NM,3.907317073,36.2291,-115.2607,35047
 Las Vegas, NV,3.825329513,36.2291,-115.2607,32003
 Lathrop, CA,3.3,37.8163,-121.3127,6077
 Latrobe, PA,3.554347826,40.3125,-79.3825,42129
 Lauderdale Lakes, FL,4.409090909,26.1683,-80.2017,12011
 Laurel, MD,3.671052632,31.6956,-89.1448,24033
 Laurinburg, NC,4.173913043,34.7596,-79.4781,37165
 Lawrence, KS,3.692288401,38.9597,-95.2641,20045
 Lawrence, MA,4.5,38.9597,-95.2641,25009
 Lawrenceburg, IN,5,38.0332,-84.9032,18029
 Lawrenceville, GA,3.802094241,33.9524,-83.993,13135
 Lawrenceville, NJ,3.67755102,33.9524,-83.993,34021
 Lawrenceville, VA,3.3,33.9524,-83.993,51025
 Lawton, OK,3.841880342,34.6171,-98.4204,40031
 Leadville, CO,4.175,39.2467,-106.2935,8065
 Leavenworth, KS,3.983333333,39.3233,-94.9244,20103
 Leawood, KS,4.15,38.9076,-94.6258,20091
 Lebanon, IL,3.773913043,44.5314,-122.9075,17163
 Lebanon, MO,3.452173913,44.5314,-122.9075,29105
 Lebanon, NH,3.5,44.5314,-122.9075,33009
 Lebanon, TN,3.787272727,44.5314,-122.9075,47189
 Leesburg, FL,3.849462366,28.7674,-81.8981,12069
 Lehi, UT,5,40.4137,-111.8728,49049
 Lemoore, CA,3.896666667,36.296,-119.7983,6031
 Lenexa, KS,2.725,38.9609,-94.8018,20091
 Levelland, TX,3.863114754,33.5806,-102.3636,48219
 Lewisburg, PA,3.815027322,40.9642,-76.8901,42119
 Lewisburg, TN,4.5,40.9642,-76.8901,47117
 Lewisburg, WV,3.65,40.9642,-76.8901,54025
 Lewiston, ID,3.890277778,44.0915,-70.1681,16069
 Lewiston, ME,3.820657277,44.0915,-70.1681,23001
 Lexington, KY,3.744137225,38.0423,-84.4587,21067
 Lexington, NC,3.935185185,38.0423,-84.4587,37057
 Lexington, VA,3.85,38.0423,-84.4587,51678
 Liberal, KS,3.85,37.0466,-100.9295,20175
 Liberty, MO,3.583333333,39.2394,-94.4191,29047
 Lilburn, GA,5,33.8887,-84.1379,13135
 Lima, NY,3,40.7409,-84.1121,36051
 Lima, OH,3.873529412,40.7409,-84.1121,39003
 Lincoln, IL,4.043859649,40.1507,-89.372,17107
 Lincoln, NE,3.605687204,40.1507,-89.372,31109
 Lisle, IL,3.700425532,41.7922,-88.0883,17043
 Little Rock, AR,3.847671233,34.7255,-92.3581,5119
 Littleton, CO,3.750228311,39.5911,-105.0194,8005
 Livermore, CA,3.778116343,37.6861,-121.7608,6001
 Liverpool, NY,4.116666667,53.416,-2.918,36067
 Livingston, AL,3.828070175,45.6667,-110.5538,1119
 Livonia, MI,3.652798054,42.3972,-83.3733,26163
 Lock Haven, PA,3.741311475,41.1365,-77.4521,42035
 Lodi, NJ,3.727419355,38.1218,-121.2932,34003
 Logan, UT,3.68961039,41.7402,-111.8419,49005
 Logan, WV,3.975757576,41.7402,-111.8419,54045
 Loma Linda, CA,3.732857143,34.0448,-117.2503,6071
 Lombard, IL,3.638461538,41.874,-88.0158,17043
 Lompoc, CA,5,34.6618,-120.4714,6083
 Long Beach, CA,3.818176886,30.3608,-89.165,6037
 Long Beach, MS,3.519230769,30.3608,-89.165,28047
